10524,21773,140
11163,21488,140
11762,21114,140
11978,20447,140
7545,20917,140
8142,20553,140
8735,20168,140
9328,19783,140
9921,19398,140
10514,19013,140
11106,18628,140
11706,18253,140
4499,20042,140
5095,19649,140
5731,19238,140
6365,18826,140
7001,18415,140
7636,18003,140
8271,17593,140
1399,19152,140
1988,18782,140
2581,18398,140
3174,18013,140
3767,17628,140
4359,17243,140
4952,16858,140
5545,16473,140
6138,16088,140
13,18755,140
0,17139,140
593,16754,140
1186,16369,140
1778,15984,140
2371,15599,140
2964,15214,140
8,14302,140
9003,17111,140
11990,17543,140
10303,16265,140
10896,15880,140
11496,15505,140
12000,15005,140
6730,15703,140
7323,15318,140
7916,14933,140
8509,14548,140
9101,14163,140
9694,13778,140
10287,13393,140
10880,13008,140
11480,12634,140
12012,12158,140
12016,11243,140
3574,14819,140
4184,14423,140
4793,14027,140
5403,13632,140
6065,13206,140
6657,12819,140
7316,12392,140
7977,12005,140
8638,11537,140
9299,11110,140
9960,10683,140
10620,10256,140
635,13882,140
1279,13465,140
1922,13048,140
2565,12631,140
3209,12215,140
3853,11799,140
4497,11382,140
5140,10965,140
5784,10548,140
6428,10132,140
7071,9715,140
7714,9298,140
19,11416,140
611,11031,140
1204,10646,140
1797,10261,140
2390,9876,140
2983,9491,140
3575,9106,140
4168,8721,140
4835,8355,140
28,8529,140
621,8144,140
1213,7759,140
1806,7374,140
29,6822,140
9678,16704,140
12038,9970,105
12038,9496,105
12038,9022,105
12038,8548,110
12038,8074,110
12038,7600,105
11977,7130,110
12038,6647,105
12038,6173,110
12038,5699,110
12038,5225,110
12038,4751,110
9638,9064,105
9668,8591,105
9688,8118,105
9725,7514,105
9748,6991,105
9778,6518,110
9798,6044,110
9818,5571,110
9848,5098,105
9868,4624,105
9898,4151,105
9908,3678,105
7500,8553,105
7216,7738,110
7246,7265,110
7275,6661,105
7308,6088,105
7328,5615,105
7378,4668,110
7408,4195,110
7428,3721,105
7458,3248,110
7458,2775,105
4762,7377,105
4792,6904,105
4812,6431,105
4855,5797,105
4876,5214,110
4906,4741,105
4926,4267,110
4956,3794,105
4976,3321,105
4996,2847,110
5026,2374,110
5046,1900,105
2368,6697,110
2325,6224,105
2355,5751,105
2375,5278,110
2405,4804,105
2425,4041,105
2475,3384,105
2525,2437,110
2605,1017,110
427,6067,110
69,5364,110
69,4890,110
69,4416,110
69,3942,110
69,3468,110
242,2990,110
69,1422,105
69,948,105
69,474,105
69,0,105
